Filename,Date Digitized,QA complete,OCR complete,Call No.,BIB_ID,Title,Author,Pub date,Pub date in record,Pub Place,Country,OCLC no.,Desc,Repository
ksrl_sc_griffith_p637_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P637,7794367,"Manuel Cuellar, coronel efectivo de las milicias de la repu_blica, a los Yoren_os.","Cuellar, Manuel",1871,1871.,Comayagua :,Honduras,(OCoLC)ocn823937342,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p638_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P638,7665507,"Habiendo regresado a_ esta ciudad el sen_or doctor don Ramo_n Rosa.... / [signed] Bonilla, Caldero_n, Bardales.",Honduras. Secretari_a Jeneral del Gobierno Constitucional,1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809854245,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p639_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P639,7665508,"Liquidacio_n general de la cuenta de los varios contratistas de la renta, por el aguardiente que han introducido a los depositos de este departamento en todo el presente an_o / [signed] Miguel A. Lardizabal, Julio Lozano.",,1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809853558,1 sheet ; 22 x 33 cm.,Special Collections
ksrl_sc_griffith_p640_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P640,7665509,Considerando : que por acuerdo de 3 del corriente se ha declarado libre la venta por mayor i menor de licores estranjeros.... / [signed] Rosa.,Honduras. Secretari_a Jeneral del Gobierno Constitucional,1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809860135,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p645_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P645,7665889,"Acuerdo nu_mero 2° / [signed] Ponciano Leiva, Adolfo Zu_n_iga.","Leiva, Ponciano, 1821-1896.",1875,1875.,Honduras :,Honduras,(OCoLC)ocn809940337,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p649_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P649,7665893,"1° del pro_ximo entrante mes de enero, la Universidad abre sus cursos conforme a_ sus estatutos vigentes / Rectori_a de la Universidad de Occidente ; [signed] Emilio Delgado.","Universidad de Occidente (Santa Rosa, Honduras)",1880,1880.,Santa Rosa :,Honduras,(OCoLC)ocn809940340,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p652_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P652,7665896,Decreto nu_mero 8° / el presidente de la repu_blica de Honduras.,Honduras. President (1874-1876 : Leiva),1875,1875.,Comayagua :,Honduras,(OCoLC)ocn809939159,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p653_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P653,7665897,"Decreto nu_mero 5° : el presidente de la repu_blica de Honduras, a sus habitantes / [signed] Ponciano Leiva.",Honduras. President (1874-1876 : Leiva),1875,1875.,Comayagua :,Honduras,(OCoLC)ocn809940344,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p654_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P654,7665898,Gran funcio_n estraordinaria. Representacio_n li_rica para el domingo 5 de setiembre de 1852. Ofrecida al ilustrado pu_blico de Tegucigalpa. Cuarta aparicio_n del artista D.L.G. en el salo_n del sen_or D. Zotero Moncada.,,1852,1852.,Tegucigalpa :,Honduras,(OCoLC)ocn809939160,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p656_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P656,7665900,Presidente del estado de Honduras a todos los pueblos de Centro-Ame_rica / [signed] Juan Lindo.,"Ferna_ndez Lindo y Zelaya, Juan Nepomuceno, 1790-1857.",1850,1850.,[Comayagua] :,Honduras,(OCoLC)ocn809939162,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_p661_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P661,7665905,Considerando : que algunas municipalidades no han procedido con la debida equidad al hacer uso de la prestacio_n personal... / el Presidente de la repu_blica.,Honduras. President (1874-1876 : Leiva),1886,1886,Honduras :,Honduras,(OCoLC)ocn809940348,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p665_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P665,7666497,"Acta patrio_tica en Comayagua, a_ los cinco dias de noviembre de mil ochocientos ochenta / [signed] Julius Mundt... [et al.].",,1880,1880.,Honduras :,Honduras,(OCoLC)ocn810085638,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p666_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P666,7666498,Tributo al me_rito.,,1880,1880.,Comayagua :,Honduras,(OCoLC)ocn810085793,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p667_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P667,7666499,Camaradas / [signed] R. Antonio Tercero.,"Tercero, R. Antonio.",1880,1880.,Choluteca :,Honduras,(OCoLC)ocn810085798,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p668_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P668,7666500,"Victoriano Castellanos, presidente de la repu_blica, al honduren_o / [signed] Victoriano Castellanos.","Castellanos, Victoriano.",1862,1862.,Tegucigalpa :,Honduras,(OCoLC)ocn810085640,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p669_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P669,7666501,Junta decimal del Obispado de Honduras / [signed] Miguel del Cid... [et al.],Catholic Church. Diocese of Honduras.,1858,1858.,Comayagua :,Honduras,(OCoLC)ocn810086182,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p672_0001,2015-04-09,2015-04-10,2015-04-29,GRIFFITH P672,7666504,Instituto nacional / [signed] Jose_ de Torres B.,"Torres B., Jose_ de.",1882,1882,San JoseÌÅ :,Costa Rica,(OCoLC)ocn810085641,1 fold. sheet ; 21 cm.,Special Collections
ksrl_sc_griffith_p673_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P673,7666505,"Prospero Ferna_ndez, general de divisio_n y presidente de la repu_blica de Costa-Rica, a los costarricenses.",Costa Rica. President (1882-1885 : Ferna_ndez),1884,1884.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn810085800,1 sheet ; 37 cm.,Special Collections
ksrl_sc_griffith_p674_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P674,7666506,Mas sobre las proposiciones de Mr. Keith.,,1883,1883.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn810085801,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p676_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P676,7666508,Honorable sen_or secretario de estado en el despacho de instruccio_n pu_blica.,,1883,1883.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn810085803,1 sheet ; 36 cm.,Special Collections
ksrl_sc_griffith_p682_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P682,7666514,¡Viva el sen_or presidente de la repu_blica! ¡Viva el sen_or ministro de gobernacio_n! ¡Viva el sen_or comandante jeneral del eje_rcito!,,1868,1868.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn810085808,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p683_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P683,7666515,"Manifestacio_n de los vecinos del canto_n del Parai_so, al beneme_rito general presidente de la repu_blica, don Pro_spero Ferna_ndez / [signed] Antonio N. Garcia... [et al.]",,1884,1884.,[Costa Rica] :,Costa Rica,(OCoLC)ocn810085809,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p685_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P685,7666517,Manifestacio_n. / [signed] Eufrasio Pacheco.,"Pacheco, Eufrasio.",1884,1884.,[Costa Rica] :,Costa Rica,(OCoLC)ocn810086187,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p686_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P686,7666518,Manifestacio_n de la ciudad de Liberia a_ S.E. el beneme_rito general presidente de la repu_blica / [signed] Horacio Salazar... [et al.].,,1884,1884.,[Costa Rica] :,Costa Rica,(OCoLC)ocn810085812,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p689_0001||ksrl_sc_griffith_p689_0002,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P689,7666521,Junta de caridad del Hospital de San Juan de Dios : loteri_a del Hospicio Nacional de Locos.,,1888,1888.,[Costa Rica :,Costa Rica,(OCoLC)ocn810085815,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p692_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P692,7666524,"Discurso del regente de la Suprema Corte de Justicia en el acto de tomar posesio_n el presidente de la repu_blica de Costa-Rica, el 8 de mayo de 1863.","Castro Madriz, Jose_ Mari_a.",1863,1863.,[San JoseÌÅ] :,Costa Rica,(OCoLC)ocn810085646,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p693_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P693,7666525,Loteri_a del Hospicio Nacional de Locos.,,1894,,,Costa Rica,(OCoLC)ocn810085816,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p696_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P696,7666528,A don Joaqui_n B. Calvo / [signed] Calixto Velado... [et al].,,1884,1884.,Sonsonate :,El Salvador,(OCoLC)ocn810086193,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p698_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P698,7666529,Divisio_n de zonas de la Mosquitia : municipalidad de Iriona / [signed] F. Rodri_guez... [et al].,,1912,1912],[Honduras :,Honduras,(OCoLC)ocn810085818,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p704_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P704,6771090,Gobernantes de Honduras / [Pa_nfilo Estrada ... et. al.].,,1880,1880],[Honduras :,Honduras,(OCoLC)ocn492431522,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p736_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P736,7881304,Sr. presidente del estado / [signed] Joaquin Velasquez... [et al.],,1862,[1862],[Comayagua] :,Honduras,(OCoLC)ocn855334090,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p743_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P743,6769515,Don Eusebio De Bardaxi y Azara.,"Bardaxi_ y Azara, Eusebio.",1810,1810],[Spain? :,Spain,(OCoLC)ocn491380348,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p744_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P744,6769516,Sen_or Novelero.,,1854,1854.,Comayagua :,Honduras,(OCoLC)ocn491373066,1 sheet ; 22 cm.,Special Collections
ksrl_sc_griffith_p746_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P746,6769518,A los honduren_os / Los Opotecas.,"El Rosario (Comayagua, Honduras)",1862,1862.,Tegucigalpa :,Honduras,(OCoLC)ocn491380390,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p747_0001||ksrl_sc_griffith_p747_0002,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P747,6769519,"Circular a los sen_ores curas, sacerdotes y demas fieles nuestros diocesanos / [Florencio Carranza].","Carranza, Florencio.",1887,1887.,[Honduras] :,Honduras,(OCoLC)ocn491374422,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p754_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P754,6771100,Presidente provisorio del estado a los salvadoren_os / [Juan Lindo].,"Ferna_ndez Lindo y Zelaya, Juan Nepomuceno, 1790-1857.",1841,1841.,San Salvador :,El Salvador,(OCoLC)ocn492431535,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p756_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P756,6771093,"Al illmo. i rmo. sen_or obispo, doctor don fray Juan de Jesu_s Zepeda y Zepeza, en su natalicio.",,1883,1883.,Comayagua :,Honduras,(OCoLC)ocn492432120,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p759_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P759,6771084,Presidente i comandante general de la repu_blica a los sen_ores jefes oficiales i soldados de la divisio_n de operaciones.,Honduras. President (1874-1876 : Leiva),1876,1876.,Comayagua :,Honduras,(OCoLC)ocn492432040,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p763_0001||ksrl_sc_griffith_p763_0002,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P763,6771072,Diputados a la constituyente de 1880 / [ Rosendo Agu_ero ... et. al.].,,1880,1880.,Tegucigalpa :,Honduras,(OCoLC)ocn492423277,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p764_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P764,6771069,"Miguel R. Davila, alcalde municipal de esta ciudad, hace saber: que la Corporacio_n Municipal, con fecha diez del corriente, ha emitido el Bando de buen Gobierno que literalmente dice...","Da_vila, Miguel R.",1886,1886.,Tegucigalpa :,Honduras,(OCoLC)ocn492431434,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p766_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P766,6771062,Decreto nu_mero 2.,Honduras. Congreso Nacional.,1875,[1875],[Honduras] :,Honduras,(OCoLC)ocn492423269,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p768_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P768,6773919,Decreto nu_mero 22.,Honduras.,1903,[1903],[Honduras] :,Honduras,(OCoLC)ocn495472493,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p769_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P769,6773918,Acuerdo nu_mero 3.,Honduras.,1875,[1875],[Comayagua] :,Honduras,(OCoLC)ocn495473125,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p771_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P771,6773916,"Sen_or jefe poli_tico del Departamento de-- / Ministerio de Relaciones y Gobernacio_n del S.G. de Honduras; Victoriano Castellanos, Carlos Madrid.","Castellanos, Victoriano.",1862,1862.,Tegucigalpa :,Honduras,(OCoLC)ocn495472089,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p772_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P772,6773915,"Al Illmo. i Rvmo. Sr. don Fr. Juan de Jesu_s Zepeda i Zepeda, en la festividad de San Juan Evangelista / su hijo en Cristo, Bruno Padilla.","Padilla, Bruno.",1878,1878.,Comayagua :,Honduras,(OCoLC)ocn495472087,1 sheet ; 22 cm.,Special Collections
ksrl_sc_griffith_p812_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P812,8077263,Acta de pronunciamiento de Sensuntepeque.,,1863,1863.,San Salvador :,El Salvador,(OCoLC)ocn893483424,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p813_0001,2015-04-03,2015-04-06,2015-04-29,GRIFFITH P813,8077262,Al pu_blico / [signed] J. Emiliano Quadra.,"Quadra, Emiliano.",1864,1864.,Chinandega :,Nicaragua,(OCoLC)ocn893483410,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_r20_0001||ksrl_sc_griffith_r20_0002,2015-04-29,2015-04-30,2015-05-01,GRIFFITH R20,7911323,"Emprestito del gobierno de Honduras 1869 : obligaciones de los ferros carriles del estado, emisio_n de 207,509 obligaciones de 300 francos = Emprunt du gouvernement de Honduras 1869 : obligation des chemins de fer de l'e_tat, e_mission de 207,509 oblig",,1869,1869.,Paris :,France,(OCoLC)ocn862238763,1 sheet ; 59 cm.,Special Collections
ksrl_sc_griffith_r27_0001,2015-04-28,2015-04-29,2015-05-01,GRIFFITH R27,7911326,"A los venerables hermanos, patriarcas, primados, arzobispos y obispos de todo el orbe cato_lico ; / Pio Papa IX. Nos el presbitero Pedro Boquin, cano_nigo dignidad de chantre de la santa iglesia catedral, provisor, vicario capitular y gobernador de este","Pius IX, Pope, 1792-1878.",1851,1851.,[Honduras?] :,Honduras,(OCoLC)ocn862238864,1 broadside ; 56 cm.,Special Collections
